Artist Name,Track Name,Popularity,unique_songs
Critical Defiance,Desert Ways,19,Desert Ways Critical Defiance
Queensrÿche,I Don't Believe In Love - Remastered 2003,54,I Don't Believe In Love - Remastered 2003 Queensrÿche
White Zombie,More Human Than Human,61,More Human Than Human White Zombie
Vokonis,Through the Depths (Single Edit),26,Through the Depths (Single Edit) Vokonis
Manimal,Forged in Metal,47,Forged in Metal Manimal
Machine Head,Davidian,58,Davidian Machine Head
NanowaR of Steel,Uranus (feat. Michael Starr),39,Uranus (feat. Michael Starr) NanowaR of Steel
Nightwish,Nemo,54,Nemo Nightwish
Together to the Stars,Wither,19,Wither Together to the Stars
Hollywood Undead,California Dreaming,57,California Dreaming Hollywood Undead
Ghost,Cirice,55,Cirice Ghost
Cynik Scald,Lullaby,39,Lullaby Cynik Scald
Hyro The Hero,Legendary (feat. Brandon Saller of Atreyu),47,Legendary (feat. Brandon Saller of Atreyu) Hyro The Hero
Entombed,Wolverine Blues,47,Wolverine Blues Entombed
Metallica,The Day That Never Comes,63,The Day That Never Comes Metallica
Parazit,Asleep Reason Horror,24,Asleep Reason Horror Parazit
KISS,Strutter,63,Strutter KISS
Earth Eater,Longclaw,28,Longclaw Earth Eater
HELLYEAH,You Wouldn't Know,51,You Wouldn't Know HELLYEAH
Nine Inch Nails,Closer,60,Closer Nine Inch Nails
Fear Culture,Fake It,29,Fake It Fear Culture
Born Of Osiris,The Accursed,39,The Accursed Born Of Osiris
RedHook,Cure 4 Psycho,44,Cure 4 Psycho RedHook
Heart Of A Coward,Mouth of Madness,33,Mouth of Madness Heart Of A Coward
Naglfar,Last Breath of Yggdrasil,24,Last Breath of Yggdrasil Naglfar
Fabio Rock,Queens of Terror,27,Queens of Terror Fabio Rock
Veil Of Maya,Overthrow,47,Overthrow Veil Of Maya
Kaunan,Vallåt,39,Vallåt Kaunan
Imperia,Starlight,45,Starlight Imperia
Crossfaith,FREEDOM,39,FREEDOM Crossfaith
Body Count,Hey Joe,43,Hey Joe Body Count
The Black Crowes,Waitin' Guilty,42,Waitin' Guilty The Black Crowes
Black Orchid Empire,Death from Above,30,Death from Above Black Orchid Empire
Shinedown,Fly from the Inside,57,Fly from the Inside Shinedown
Octopus Montage,Voices,44,Voices Octopus Montage
Ihsahn,Arcana Imperii,34,Arcana Imperii Ihsahn
Polyphia,G.O.A.T.,55,G.O.A.T. Polyphia
Deathbeds AU,Enough Isn't Enough,17,Enough Isn't Enough Deathbeds AU
Avenged Sevenfold,Unholy Confessions,63,Unholy Confessions Avenged Sevenfold
Ozzy Osbourne,It's A Raid (feat. Post Malone),50,It's A Raid (feat. Post Malone) Ozzy Osbourne
Zeal & Ardor,I Can't Breathe,31,I Can't Breathe Zeal & Ardor
Stitched Up Heart,My Demon,45,My Demon Stitched Up Heart
Staind,Mudshovel,4,Mudshovel Staind
Van Halen,Eruption - 2015 Remaster,64,Eruption - 2015 Remaster Van Halen
Ghost Iris,Final Tale,32,Final Tale Ghost Iris
Testament,Night of the Witch,49,Night of the Witch Testament
Angra,Wuthering Heights,50,Wuthering Heights Angra
Accept,The Best Is yet to Come,46,The Best Is yet to Come Accept
Satyr,Picayune - Instrumental,27,Picayune - Instrumental Satyr
Code Orange,Forever,44,Forever Code Orange
Immortal,Northern Chaos Gods,32,Northern Chaos Gods Immortal
Harakiri for the Sky,"Fire, Walk with Me",45,"Fire, Walk with Me Harakiri for the Sky"
Danheim,Reida,44,Reida Danheim
Andromida,Supernova,39,Supernova Andromida
System Of A Down,Spiders,65,Spiders System Of A Down
CABAL,Death March,38,Death March CABAL
As Everything Unfolds,On the Inside,54,On the Inside As Everything Unfolds
Avalanche Effect,The Veil,38,The Veil Avalanche Effect
Powerwolf,We Drink Your Blood,61,We Drink Your Blood Powerwolf
Softspoken,Sleight of Hand,36,Sleight of Hand Softspoken
Trapdoor,Valhöll,33,Valhöll Trapdoor
KISS,Hard Luck Woman,54,Hard Luck Woman KISS
The Sword,Iron Swan,39,Iron Swan The Sword
Rob Zombie,"Well, Everybody's Fucking In A U.F.O.",53,"Well, Everybody's Fucking In A U.F.O. Rob Zombie"
Maria Brink,Meet Me In Fire [Feat. Andy Biersack],15,Meet Me In Fire [Feat. Andy Biersack] Maria Brink
Methods of Mayhem,Get Naked,47,Get Naked Methods of Mayhem
Shrezzers,Demure,44,Demure Shrezzers
BRIDEAR,The Moment,31,The Moment BRIDEAR
Snowy Dunes,Desert Cold,33,Desert Cold Snowy Dunes
Wolf King,Sanctuary,19,Sanctuary Wolf King
Dawn Of Ashes,Blood of the Titans,39,Blood of the Titans Dawn Of Ashes
Prestige,You Weep,30,You Weep Prestige
Katatonia,My Twin,50,My Twin Katatonia
From Sorrow To Serenity,Red Mist,27,Red Mist From Sorrow To Serenity
Truckfighters,Desert Cruiser,51,Desert Cruiser Truckfighters
Laaz Rockit,Fire in the Hole,33,Fire in the Hole Laaz Rockit
Dark Funeral,666 Voices Inside,30,666 Voices Inside Dark Funeral
Timo Tolkki’s Avalon,The Fire and the Sinner,34,The Fire and the Sinner Timo Tolkki’s Avalon
Tulkas,Outsider God Creation (O.G.C),32,Outsider God Creation (O.G.C) Tulkas
Die Krupps,Vision 2020 Vision,33,Vision 2020 Vision Die Krupps
The HU,Sad But True,56,Sad But True The HU
Mötley Crüe,Live Wire,65,Live Wire Mötley Crüe
Gwar,Saddam A GoGo,41,Saddam A GoGo Gwar
Lindemann,Skills in Pills,51,Skills in Pills Lindemann
ERRA,House of Glass,51,House of Glass ERRA
The Night Flight Orchestra,White Jeans,45,White Jeans The Night Flight Orchestra
Fear Factory,Linchpin,59,Linchpin Fear Factory
1349,Atomic Chapel,25,Atomic Chapel 1349
Leprous,From the Flame,49,From the Flame Leprous
Full Frontal Lobotomy,Rise Up,20,Rise Up Full Frontal Lobotomy
Equilibrium,Renegades - A Lost Generation,51,Renegades - A Lost Generation Equilibrium
Coat Of Arms,Play Along,21,Play Along Coat Of Arms
Rainbow,The Temple Of The King,62,The Temple Of The King Rainbow
Monster Magnet,Powertrip,49,Powertrip Monster Magnet
Heaven Shall Burn,Thoughts and Prayers,38,Thoughts and Prayers Heaven Shall Burn
Sakoya,Scarred,26,Scarred Sakoya
Celldweller,My Disintegration,40,My Disintegration Celldweller
Spike 1000,Make Me Suffer,30,Make Me Suffer Spike 1000
Sumo Cyco,Bad News,33,Bad News Sumo Cyco
Satyricon,Dark Medieval Times,36,Dark Medieval Times Satyricon
Brand of Sacrifice,Demon King,44,Demon King Brand of Sacrifice
The Dark Element,The Pallbearer Walks Alone,36,The Pallbearer Walks Alone The Dark Element
Strapping Young Lad,Detox,41,Detox Strapping Young Lad
Wake up Frankie,Shotgun Prophecy,31,Shotgun Prophecy Wake up Frankie
LASTELLE,Only Apathy,25,Only Apathy LASTELLE
The Haunted,Preachers of Death,42,Preachers of Death The Haunted
Saxon,Princess of the Night - 2009 Remastered Version,51,Princess of the Night - 2009 Remastered Version Saxon
Mastodon,Forged By Neron,56,Forged By Neron Mastodon
Sentenced,Noose,45,Noose Sentenced
Deep Purple,When A Blind Man Cries - Non Album B-Side;2012 - Remaster,57,When A Blind Man Cries - Non Album B-Side;2012 - Remaster Deep Purple
H.E.A.T,Rise - Kenny Leckremo Version,33,Rise - Kenny Leckremo Version H.E.A.T
Dissection,Maha-Kali,45,Maha-Kali Dissection
Ozzy Osbourne,Mr. Crowley,64,Mr. Crowley Ozzy Osbourne
Etherius,The Rivers of Sand and Blood,27,The Rivers of Sand and Blood Etherius
Inter Arma,Purple Rain,33,Purple Rain Inter Arma
Humanity's Last Breath,Earthless,38,Earthless Humanity's Last Breath
Anthrax,Bring The Noise,55,Bring The Noise Anthrax
Insanity Alert,All Mosh / No Brain,32,All Mosh / No Brain Insanity Alert
Fates Warning,Scars,25,Scars Fates Warning
Static-X,Terminator Oscillator,47,Terminator Oscillator Static-X
Accept,Metal Heart,46,Metal Heart Accept
Julien-K,Shut Down Your Soul,33,Shut Down Your Soul Julien-K
Semblant,Mere Shadow,35,Mere Shadow Semblant
Ministry,N.W.O.,0,N.W.O. Ministry
Buckethead,Welcome to Bucketheadland,43,Welcome to Bucketheadland Buckethead
Animals As Leaders,Cafo,50,Cafo Animals As Leaders
Mastodon,Show Yourself,54,Show Yourself Mastodon
Cannibal Corpse,Necrogenic Resurrection,53,Necrogenic Resurrection Cannibal Corpse
Wither,Feel Your Weight,21,Feel Your Weight Wither
Slipknot,Before I Forget,75,Before I Forget Slipknot
Ayreon,"Get Out! Now! (feat. Tom Baker, Dee Snider, Marcela Bovio, Caroline Westendorp, Joe Satriani, Joost van den Broek)",35,"Get Out! Now! (feat. Tom Baker, Dee Snider, Marcela Bovio, Caroline Westendorp, Joe Satriani, Joost van den Broek) Ayreon"
Spineshank,New Disease,55,New Disease Spineshank
Ola Englund,Cerberus,39,Cerberus Ola Englund
Orianthi,Sinners Hymn,42,Sinners Hymn Orianthi
Mastodon,Iron Tusk,45,Iron Tusk Mastodon
Abigor,Scars In The Landscape Of God,24,Scars In The Landscape Of God Abigor
Danheim,Ymir,52,Ymir Danheim
Oceans Ate Alaska,Metamorph,52,Metamorph Oceans Ate Alaska
Drowning Pool,Bodies,73,Bodies Drowning Pool
NOTHX,Rigged,28,Rigged NOTHX
Coal Chamber,Sway,48,Sway Coal Chamber
GHØSTKID,START A FIGHT,45,START A FIGHT GHØSTKID
Helstar,Dark Incarnation (Mother of the Night),20,Dark Incarnation (Mother of the Night) Helstar
Korpiklaani,Lempo,50,Lempo Korpiklaani
Sister,Psycho Thrilling,36,Psycho Thrilling Sister
Speaking With Ghosts,Waste Away,43,Waste Away Speaking With Ghosts
From Sorrow To Serenity,Tell All,36,Tell All From Sorrow To Serenity
Necrophobic,The Infernal Depths of Eternity,28,The Infernal Depths of Eternity Necrophobic
Steel Panther,Eyes Of A Panther,56,Eyes Of A Panther Steel Panther
Until I Wake,Self Medicated,55,Self Medicated Until I Wake
Pantera,Cemetery Gates,66,Cemetery Gates Pantera
Slipknot,All Out Life,66,All Out Life Slipknot
Aviana,Heavy Feather - Instrumental,27,Heavy Feather - Instrumental Aviana
Metallica,Fuel,67,Fuel Metallica
Enslaved,Storm Son,35,Storm Son Enslaved
Mystic Prophecy,Dracula,41,Dracula Mystic Prophecy
August Burns Red,Chop Suey!,55,Chop Suey! August Burns Red
Galleons,"Hate the Player, Not the Game",38,"Hate the Player, Not the Game Galleons"
Shrapnel,Winds Of Slaughter,21,Winds Of Slaughter Shrapnel
Sixx:A.M.,"Maybe It’s Time (feat. Corey Taylor, Joe Elliott, Brantley Gilbert, Ivan Moody, Slash, AWOLNATION, Tommy Vext)",58,"Maybe It’s Time (feat. Corey Taylor, Joe Elliott, Brantley Gilbert, Ivan Moody, Slash, AWOLNATION, Tommy Vext) Sixx:A.M."
Death Blooms,Fuck Everything,40,Fuck Everything Death Blooms
Five Finger Death Punch,Lift Me Up (feat. Rob Halford of Judas Priest),61,Lift Me Up (feat. Rob Halford of Judas Priest) Five Finger Death Punch
Indigo Storm,Chatterbox,15,Chatterbox Indigo Storm
Aesthetic Perfection,S E X,46,S E X Aesthetic Perfection
Circle of Dust,Onenemy - Fury Weekend Remix,42,Onenemy - Fury Weekend Remix Circle of Dust
Lock The Basement,Come Back to Life,39,Come Back to Life Lock The Basement
Gwar,Sick of You,48,Sick of You Gwar
Reliqa,Mr. Magic,41,Mr. Magic Reliqa
Gojira,Oroborus,48,Oroborus Gojira
Seth,Le Triomphe de Lucifer,24,Le Triomphe de Lucifer Seth
Marianas Rest,Pointless Tale,27,Pointless Tale Marianas Rest
Earthside,The Ungrounding,29,The Ungrounding Earthside
Anthrax,Got The Time,58,Got The Time Anthrax
Black Label Society,Pictures Of Home,24,Pictures Of Home Black Label Society
Blackbriar,The Séance,46,The Séance Blackbriar
Long Distance Calling,Ascending,35,Ascending Long Distance Calling
Light The Torch,Wilting in the Light,53,Wilting in the Light Light The Torch
Earth Caller,I Will Return,25,I Will Return Earth Caller
Mono Inc.,Louder Than Hell,44,Louder Than Hell Mono Inc.
Car Bomb,Lights Out,37,Lights Out Car Bomb
Sergey Golovin,Charger,32,Charger Sergey Golovin
Marilyn Manson,The Dope Show,60,The Dope Show Marilyn Manson
DON BROCO,Manchester Super Reds No.1 Fan,55,Manchester Super Reds No.1 Fan DON BROCO
Lacuna Coil,Heaven's a Lie,52,Heaven's a Lie Lacuna Coil
Show Me Your Universe,Kid Forever,23,Kid Forever Show Me Your Universe
Fleshkiller,Parallel Kingdom,20,Parallel Kingdom Fleshkiller
Convictions,Teeth,40,Teeth Convictions
Stone Sour,Creeping Death,49,Creeping Death Stone Sour
Archetypes Collide,Your Misery,46,Your Misery Archetypes Collide
Noora Louhimo Experience,Eternal Wheel Of Time And Space,43,Eternal Wheel Of Time And Space Noora Louhimo Experience
IMMERSE,With You,41,With You IMMERSE
We Were Giants,Section I,39,Section I We Were Giants
Sacred Reich,The American Way,42,The American Way Sacred Reich
Arch/Matheos,Wanderlust,20,Wanderlust Arch/Matheos
Trivium,Drowning in the Sound,50,Drowning in the Sound Trivium
Enslaved,Havenless,42,Havenless Enslaved
Louisahhh,Chaos,52,Chaos Louisahhh
Soen,Martyrs,48,Martyrs Soen
Limp Bizkit,Faith,61,Faith Limp Bizkit
Black Label Society,Suicide Messiah,54,Suicide Messiah Black Label Society
Emperor,Ye Entrancemperium,38,Ye Entrancemperium Emperor
Born Of Osiris,Angel Or Alien,55,Angel Or Alien Born Of Osiris
Stain the Canvas,End,40,End Stain the Canvas
Blind Guardian,The Bard's Song - In the Forest - Remastered 2007,58,The Bard's Song - In the Forest - Remastered 2007 Blind Guardian
Soil,Breaking Me Down,51,Breaking Me Down Soil
Chelsea Grin,Blind Kings,48,Blind Kings Chelsea Grin
System Of A Down,Lonely Day,60,Lonely Day System Of A Down
Outloved,It's All Hate,0,It's All Hate Outloved
SKÁLD,Grótti,49,Grótti SKÁLD
Afterglow,Ephemeral,42,Ephemeral Afterglow
Volbeat,The Devil's Bleeding Crown,64,The Devil's Bleeding Crown Volbeat
Oceans,We Are Nøt Okay,47,We Are Nøt Okay Oceans
Korn,The Devil Went Down to Georgia,53,The Devil Went Down to Georgia Korn
Entombed,"To Ride, Shoot Straight and Speak the Truth",40,"To Ride, Shoot Straight and Speak the Truth Entombed"
Violet Nine,Crash and Burn,33,Crash and Burn Violet Nine
Cradle Of Filth,From the Cradle to Enslave,46,From the Cradle to Enslave Cradle Of Filth
Mick Gordon,Rip & Tear,67,Rip & Tear Mick Gordon
Sleep,Dragonaut,53,Dragonaut Sleep
Circles,Dream Sequence,35,Dream Sequence Circles
American Head Charge,Just So You Know,50,Just So You Know American Head Charge
Levels,Chauvinist,35,Chauvinist Levels
Lacuna Coil,Our Truth,52,Our Truth Lacuna Coil
Type O Negative,Cinnamon Girl,45,Cinnamon Girl Type O Negative
Seas on the Moon,Door to Life (2017),23,Door to Life (2017) Seas on the Moon
Taproot,Calling,44,Calling Taproot
36 Crazyfists,Bloodwork,53,Bloodwork 36 Crazyfists
QuietKind,The Worst of Us,29,The Worst of Us QuietKind
Howling Giant,Rooster,33,Rooster Howling Giant
David Maxim Micic,Living Room,44,Living Room David Maxim Micic
Iron Maiden,Wasted Years - 1998 Remaster,39,Wasted Years - 1998 Remaster Iron Maiden
Scorpions,Blackout - 2015 Remaster,42,Blackout - 2015 Remaster Scorpions
Trivium,In Waves,60,In Waves Trivium
Bullet For My Valentine,Your Betrayal,68,Your Betrayal Bullet For My Valentine
Unleash The Archers,Abyss,42,Abyss Unleash The Archers
Metallica,Some Kind Of Monster,46,Some Kind Of Monster Metallica
Darkthrone,Quintessence,44,Quintessence Darkthrone
Prong,Beg To Differ,37,Beg To Differ Prong
If I Die First,My Nightmares Would Do Numbers As Horror Movies,42,My Nightmares Would Do Numbers As Horror Movies If I Die First
The Picturebooks,Rebel (feat. Lzzy Hale),36,Rebel (feat. Lzzy Hale) The Picturebooks
ODC,I Don't Know You,40,I Don't Know You ODC
Dark Funeral,The Secrets of the Black Arts,31,The Secrets of the Black Arts Dark Funeral
TOOL,Pneuma,65,Pneuma TOOL
Black Mountain,Wucan,44,Wucan Black Mountain
Heartlay,Bloodright (No Way to Hide) - Moris Blak Remix,38,Bloodright (No Way to Hide) - Moris Blak Remix Heartlay
Volumes,Pixelate,40,Pixelate Volumes
Brand of Sacrifice,Altered Eyes,47,Altered Eyes Brand of Sacrifice
Airbourne,Runnin' Wild,65,Runnin' Wild Airbourne
DIAMANTE,I Love Myself For Hating You,41,I Love Myself For Hating You DIAMANTE
Deftones,Minerva,58,Minerva Deftones
Evereal,When You're Gone,34,When You're Gone Evereal
Metal Church,Conductor (Redux),32,Conductor (Redux) Metal Church
DOWN,Stone the Crow,57,Stone the Crow DOWN
Sepultura,Roots Bloody Roots,61,Roots Bloody Roots Sepultura
Queensrÿche,Man the Machine,34,Man the Machine Queensrÿche
Nachtblut,Leierkinder,36,Leierkinder Nachtblut
Dream State,Primrose,50,Primrose Dream State
ColdWorld,This Empty Life,26,This Empty Life ColdWorld
Slayer,War Ensemble,51,War Ensemble Slayer
Wheel,Wheel,53,Wheel Wheel
H.E.A.T,Dangerous Ground,43,Dangerous Ground H.E.A.T
Mayhem,Deathcrush,48,Deathcrush Mayhem
Liturgy,Antigone,23,Antigone Liturgy
Grindpad,The Knife Is Sharper Than Ever,17,The Knife Is Sharper Than Ever Grindpad
AC/DC,Big Gun,59,Big Gun AC/DC
Memphis May Fire,The Sinner,52,The Sinner Memphis May Fire
Sanju,Astral,24,Astral Sanju
KK's Priest,Hellfire Thunderbolt,46,Hellfire Thunderbolt KK's Priest
Aerosmith,Dream On,78,Dream On Aerosmith
As I Lay Dying,The Sound Of Truth,56,The Sound Of Truth As I Lay Dying
Zeromancer,Dr. Online,42,Dr. Online Zeromancer
Awaken I Am,Roses,52,Roses Awaken I Am
Dream Theater,To Tame a Land,34,To Tame a Land Dream Theater
Architects,Gravedigger,49,Gravedigger Architects
Turisas,Rasputin,61,Rasputin Turisas
The Dark Element,Songs the Night Sings,47,Songs the Night Sings The Dark Element
Machine Head,Message in a Bottle,50,Message in a Bottle Machine Head
Nekrogoblikon,Chop Suey!,44,Chop Suey! Nekrogoblikon
Tenhi,Pojan Kiiski,35,Pojan Kiiski Tenhi
Korn,Falling Away from Me,72,Falling Away from Me Korn
Metalite,Peacekeepers,47,Peacekeepers Metalite
Black Tide,Shockwave,25,Shockwave Black Tide
As I Lay Dying,The Darkest Nights,52,The Darkest Nights As I Lay Dying
Axty,What I've Become,39,What I've Become Axty
KISS,Hell Or Hallelujah,44,Hell Or Hallelujah KISS
Still Remains,The Worst Is yet to Come,42,The Worst Is yet to Come Still Remains
Red Moon Architect,Dethrone the darkness,22,Dethrone the darkness Red Moon Architect
Sepultura,Orgasmatron,49,Orgasmatron Sepultura
Stone Sour,Absolute Zero,68,Absolute Zero Stone Sour
Krosis,Duplicity,36,Duplicity Krosis
Frost*,Terrestrial,31,Terrestrial Frost*
Scorpions,Rock You Like a Hurricane - 2015 - Remaster,67,Rock You Like a Hurricane - 2015 - Remaster Scorpions
P.O.D.,Alive - 2006 Remaster,57,Alive - 2006 Remaster P.O.D.
Gemini Five,You Spin Me Round (Like A Record),40,You Spin Me Round (Like A Record) Gemini Five
Powerman 5000,Black Lipstick,45,Black Lipstick Powerman 5000
Pantera,Cowboys from Hell,71,Cowboys from Hell Pantera
Nachtblut,Meine Grausamkeit Kennt Keine Grenzen,21,Meine Grausamkeit Kennt Keine Grenzen Nachtblut
Arch Echo,To the Moon,37,To the Moon Arch Echo
Half Me,Exitwound,32,Exitwound Half Me
Our Oceans,Motherly Flame,18,Motherly Flame Our Oceans
Powerwolf,Werewolves of Armenia - Rerecorded Version,48,Werewolves of Armenia - Rerecorded Version Powerwolf
Attack Attack!,Brachyura Bombshell,56,Brachyura Bombshell Attack Attack!
Pure Obsessions & Red Nights,A Lovely Day - Combichrist Remix,35,A Lovely Day - Combichrist Remix Pure Obsessions & Red Nights
Arcadia's Fate,The Only Man on Earth,22,The Only Man on Earth Arcadia's Fate
Igorrr,Camel Dancefloor,45,Camel Dancefloor Igorrr
Anathema,Fragile Dreams,45,Fragile Dreams Anathema
Echopraxia,Abaddon,28,Abaddon Echopraxia
Transatlantic,The World We Used to Know,30,The World We Used to Know Transatlantic
Antariksh,Quest,27,Quest Antariksh
Crim,A Song and a Promise,22,A Song and a Promise Crim
Lacuna Coil,Swamped,46,Swamped Lacuna Coil
Jinjer,Pisces,55,Pisces Jinjer
Alien Weaponry,Kai Tangata,48,Kai Tangata Alien Weaponry
Ministry,Just One Fix,51,Just One Fix Ministry
Marius Danielsen,Battle for Eloroth,39,Battle for Eloroth Marius Danielsen
Caligula's Horse,Slow Violence,36,Slow Violence Caligula's Horse
Ursus,Self Affliction,5,Self Affliction Ursus
Morbid Angel,Summoning Redemption,42,Summoning Redemption Morbid Angel
As Everything Unfolds,Grayscale,42,Grayscale As Everything Unfolds
At Vance,Only Human,39,Only Human At Vance
TOOL,Stinkfist,66,Stinkfist TOOL
Stratovarius,Hunting High And Low,53,Hunting High And Low Stratovarius
Inexorum,Moonlit Navigation,19,Moonlit Navigation Inexorum
Dimmu Borgir,In Death's Embrace,38,In Death's Embrace Dimmu Borgir
Faith No More,Epic,69,Epic Faith No More
Stepson,Come with Me,42,Come with Me Stepson
Crimson Sun,Essence of Creation,34,Essence of Creation Crimson Sun
Mayhem,Freezing Moon,53,Freezing Moon Mayhem
Draconian,Lustrous Heart,35,Lustrous Heart Draconian
Distant,Hellmouth,38,Hellmouth Distant
Imminence,Temptation,58,Temptation Imminence
Alestorm,Keelhauled,54,Keelhauled Alestorm
Planet of Zeus,Leftovers,38,Leftovers Planet of Zeus
Voyager,Colours,26,Colours Voyager
Krakow,minus,31,minus Krakow
Accept,Zombie Apocalypse,46,Zombie Apocalypse Accept
Van Halen,Panama - 2015 Remaster,74,Panama - 2015 Remaster Van Halen
Winger,Seventeen,60,Seventeen Winger
Eskimo Callboy,Hypa Hypa,63,Hypa Hypa Eskimo Callboy
Dream Theater,Space-Dye Vest,48,Space-Dye Vest Dream Theater
Glass Heart,Loved & Lost,10,Loved & Lost Glass Heart
DragonForce,My Heart Will Go On,28,My Heart Will Go On DragonForce
Valravn,Sjón,39,Sjón Valravn
Enterprise Earth,Foundation of Bones,32,Foundation of Bones Enterprise Earth
The Rods,Let Them Eat Metal,43,Let Them Eat Metal The Rods
Nothgard,Lightcrawler,41,Lightcrawler Nothgard
Metallica,The Memory Remains,59,The Memory Remains Metallica
Iron Angel,Emerald Eyes,11,Emerald Eyes Iron Angel
Andromida,The Abyss,38,The Abyss Andromida
Dee Snider,Tomorrow's No Concern,39,Tomorrow's No Concern Dee Snider
Ulver,I Troldskog Faren Vild,40,I Troldskog Faren Vild Ulver
Phantom Elite,Diamonds and Dark,40,Diamonds and Dark Phantom Elite
Lindemann,Ich weiß es nicht,50,Ich weiß es nicht Lindemann
Beartooth,The Lines,55,The Lines Beartooth
Earth Crisis,Forced March,35,Forced March Earth Crisis
Gothminister,Liar,40,Liar Gothminister
NUTRONIC,Ocean in the Sky,0,Ocean in the Sky NUTRONIC
Edge Of Sanity,Black Tears,40,Black Tears Edge Of Sanity
Uniform,Penance,29,Penance Uniform
DOWN,Ghosts Along the Mississippi,39,Ghosts Along the Mississippi DOWN
Cowboys & Aliens,Ghost In My Speaker,35,Ghost In My Speaker Cowboys & Aliens
Dropdead Chaos,HUMANS,24,HUMANS Dropdead Chaos
The Hirsch Effekt,Xenophotopia - Instrumental,32,Xenophotopia - Instrumental The Hirsch Effekt
Neon Graves,Piece of Me,25,Piece of Me Neon Graves
August Burns Red,Paramount,53,Paramount August Burns Red
Culted,Lifers,23,Lifers Culted
Greyhaven,Echo and Dust Pt. I,43,Echo and Dust Pt. I Greyhaven
Avenged Sevenfold,Nightmare,71,Nightmare Avenged Sevenfold
Metallica,Nothing Else Matters,79,Nothing Else Matters Metallica
Bury Me Alive,You & I,39,You & I Bury Me Alive
Metallica,Master Of Puppets,74,Master Of Puppets Metallica
Kyuss,Supa Scoopa and Mighty Scoop,43,Supa Scoopa and Mighty Scoop Kyuss
Deceptic,Dissonance,29,Dissonance Deceptic
Lacuna Coil,The House of Shame,42,The House of Shame Lacuna Coil
At The Gates,Slaughter Of The Soul,50,Slaughter Of The Soul At The Gates
The Devil Wears Prada,Chemical,58,Chemical The Devil Wears Prada
DevilDriver,Sail,43,Sail DevilDriver
Forbidden,Through Eyes of Glass,35,Through Eyes of Glass Forbidden
Metalite,Hunting High and Low,42,Hunting High and Low Metalite
Five Finger Death Punch,Blue On Black,58,Blue On Black Five Finger Death Punch
LASTELLE,A Letter Unread,39,A Letter Unread LASTELLE
Skid Row,In a Darkened Room,0,In a Darkened Room Skid Row
Grave Digger,Rebellion (The Clans Are Marching) - Remastered Version,49,Rebellion (The Clans Are Marching) - Remastered Version Grave Digger
CABAL,Bitter Friend (feat. Matt Heafy),34,Bitter Friend (feat. Matt Heafy) CABAL
Written by Wolves,Let It Burn,48,Let It Burn Written by Wolves
Guns N' Roses,Knockin' On Heaven's Door,77,Knockin' On Heaven's Door Guns N' Roses
Ozzy Osbourne,Shot in the Dark,62,Shot in the Dark Ozzy Osbourne
Watain,Malfeitor,39,Malfeitor Watain
Voivod,Obsolete Beings,28,Obsolete Beings Voivod
Uneven Structure,Innocent,34,Innocent Uneven Structure
Guns N' Roses,Better,54,Better Guns N' Roses
Ost+Front,Ikarus,39,Ikarus Ost+Front
Lone Survivors,Lost in my Mind,27,Lost in my Mind Lone Survivors
Sodom,Glock 'n' Roll,28,Glock 'n' Roll Sodom
AC/DC,Rock or Bust,62,Rock or Bust AC/DC
Enforced,Hemorrhage,29,Hemorrhage Enforced
Megadeth,No More Mr. Nice Guy,39,No More Mr. Nice Guy Megadeth
(Hed) P.E.,Suck It Up,40,Suck It Up (Hed) P.E.
Abbie Falls,No One's Above,42,No One's Above Abbie Falls
Beartooth,In Between,66,In Between Beartooth
Torchia,Sky,28,Sky Torchia
August Burns Red,Pangaea,57,Pangaea August Burns Red
Lock The Basement,Feed Our Lie,39,Feed Our Lie Lock The Basement
Valley of the Sun,Old Gods,42,Old Gods Valley of the Sun
Unprocessed,Exhale,29,Exhale Unprocessed
Three Days Grace,Animal I Have Become,66,Animal I Have Become Three Days Grace
Limp Bizkit,Behind Blue Eyes,72,Behind Blue Eyes Limp Bizkit
Sammy Hagar,Heavy Metal,61,Heavy Metal Sammy Hagar
As I Lay Dying,A Greater Foundation,47,A Greater Foundation As I Lay Dying
Ricky Warwick,When Life Was Hard & Fast,30,When Life Was Hard & Fast Ricky Warwick
Dead Meadow,What Needs Must Be,45,What Needs Must Be Dead Meadow
KISS,I Was Made For Lovin' You,79,I Was Made For Lovin' You KISS
Rivers of Nihil,The Silent Life,43,The Silent Life Rivers of Nihil
Watain,Satan's Hunger,32,Satan's Hunger Watain
British Lion,Lightning,33,Lightning British Lion
Noctule,Evenaar,21,Evenaar Noctule
A Perfect Circle,Judith,67,Judith A Perfect Circle
Vertilizar,Nobody's Favorite,26,Nobody's Favorite Vertilizar
Metallica,Whiskey In The Jar,72,Whiskey In The Jar Metallica
Traitor,Space Seed,21,Space Seed Traitor
Kati Ran,Blodbylgje,42,Blodbylgje Kati Ran
Opeth,Heart in Hand,43,Heart in Hand Opeth
Zen Guerrilla,Moonage Daydream,34,Moonage Daydream Zen Guerrilla
Wolcensmen,Lady of the Depe,35,Lady of the Depe Wolcensmen
August Burns Red,Avalanche,32,Avalanche August Burns Red
Queens of the Stone Age,Regular John,51,Regular John Queens of the Stone Age
Zergananda,The Path to Valhalla,48,The Path to Valhalla Zergananda
Ayron Jones,Supercharged,0,Supercharged Ayron Jones
